,face_id,frame_id,domain_emotion,angry,disgust,scared,happy,sad,surprised,neutral
0,1,0,neutral,0.010179740376770496,0.007263461127877235,0.14987510442733765,0.13458414375782013,0.07478838413953781,0.008987813256680965,0.6143212914466858
2,1,2,neutral,0.01569187641143799,0.03204094618558884,0.14149004220962524,0.18982475996017456,0.08464919030666351,0.006730656139552593,0.5295724868774414
4,1,4,neutral,0.018952902406454086,0.04129556939005852,0.07991518080234528,0.21198713779449463,0.06858789920806885,0.006692999508231878,0.5725683569908142
6,1,6,neutral,0.01822378858923912,0.05675568804144859,0.10860095918178558,0.06514593958854675,0.12114453315734863,0.005089232232421637,0.6250398755073547
8,1,8,neutral,0.021122785285115242,0.004020954482257366,0.0842580497264862,0.047366321086883545,0.09122595936059952,0.0026602623984217644,0.7493457794189453
10,1,10,neutral,0.038817502558231354,0.004281234927475452,0.2352086901664734,0.08052881807088852,0.12090277671813965,0.011094516143202782,0.5091664791107178
12,1,12,neutral,0.020686399191617966,0.0022385097108781338,0.15790246427059174,0.05124519020318985,0.10236544907093048,0.00337840523570776,0.6621835827827454
14,1,14,neutral,0.03358595445752144,0.002252133097499609,0.15297694504261017,0.023633208125829697,0.0694614052772522,0.015204772353172302,0.7028855681419373
16,1,16,neutral,0.020087987184524536,0.0021688477136194706,0.12469585984945297,0.21811607480049133,0.129946768283844,0.01685446873307228,0.48812994360923767
18,1,18,neutral,0.015332270413637161,0.013921254314482212,0.08529434353113174,0.2126564383506775,0.06803363561630249,0.003982216585427523,0.6007798314094543
20,1,20,neutral,0.021606342867016792,0.007875545881688595,0.08607815951108932,0.03032596968114376,0.09283655881881714,0.011980480514466763,0.7492969036102295
22,1,22,neutral,0.02576795034110546,0.011089646257460117,0.14953243732452393,0.06232915818691254,0.11802812665700912,0.013343860395252705,0.6199088096618652
24,1,24,neutral,0.015986204147338867,0.0022589704021811485,0.18464544415473938,0.03664706274867058,0.1283714473247528,0.002430781489238143,0.6296600699424744
26,1,26,neutral,0.015571409836411476,0.009346584789454937,0.1574513167142868,0.03555938974022865,0.13651616871356964,0.0009902454912662506,0.6445648670196533
28,1,28,neutral,0.013020196929574013,0.009691927582025528,0.11855942755937576,0.05558537691831589,0.10549497604370117,0.0011560985585674644,0.6964920163154602
30,1,30,neutral,0.02085404470562935,0.008287015371024609,0.1999063789844513,0.10170703381299973,0.13108991086483002,0.0036495188251137733,0.53450608253479
32,1,32,neutral,0.020233651623129845,0.0068891909904778,0.19981352984905243,0.11449995636940002,0.10702875256538391,0.004225301556289196,0.5473096370697021
34,1,34,neutral,0.028577761724591255,0.006878922693431377,0.366300493478775,0.08030164986848831,0.13388954102993011,0.006492242217063904,0.3775593638420105
36,1,36,neutral,0.021423619240522385,0.01039437111467123,0.211711585521698,0.19612009823322296,0.11533463001251221,0.008406938053667545,0.4366086721420288
38,1,38,neutral,0.024488301947712898,0.011865111999213696,0.17848391830921173,0.16950705647468567,0.12715373933315277,0.004679715260863304,0.48382219672203064
40,1,40,neutral,0.031221946701407433,0.009673012420535088,0.19975994527339935,0.11763042956590652,0.1589529812335968,0.0026831352151930332,0.48007863759994507
42,1,42,neutral,0.0321168527007103,0.016376648098230362,0.1640225052833557,0.19968025386333466,0.15029440820217133,0.0027257788460701704,0.4347834885120392
44,1,44,scared,0.043533965945243835,0.0022278863471001387,0.30426400899887085,0.13277330994606018,0.21490108966827393,0.0031095645390450954,0.2991901636123657
46,1,46,sad,0.06984541565179825,0.0013852898264303803,0.28280115127563477,0.03640037775039673,0.3369826078414917,0.000703192490618676,0.27188193798065186
48,1,48,sad,0.09980499744415283,0.008640214800834656,0.22145532071590424,0.07400237023830414,0.29849156737327576,0.0003747292794287205,0.2972307503223419
50,1,50,sad,0.13958735764026642,0.005112980026751757,0.21101228892803192,0.03410375118255615,0.3562048077583313,0.0018231378635391593,0.2521556615829468
52,1,52,happy,0.14654627442359924,0.003252559807151556,0.17266304790973663,0.26924094557762146,0.20879730582237244,0.0031391149386763573,0.19636070728302002
54,1,54,happy,0.1811128556728363,0.010638078674674034,0.1360967755317688,0.25673580169677734,0.20008239150047302,0.0019431074615567923,0.2133909910917282
56,1,56,angry,0.46353092789649963,0.13172118365764618,0.07213020324707031,0.19465002417564392,0.056771330535411835,0.0020407005213201046,0.07915562391281128
58,1,58,angry,0.2678541839122772,0.006721023004502058,0.1530504673719406,0.15802358090877533,0.14739620685577393,0.0016388357616961002,0.2653156518936157
60,1,60,disgust,0.2719731330871582,0.4126898944377899,0.050977084785699844,0.11635684221982956,0.08589794486761093,0.0008661288302391768,0.06123895198106766
62,1,62,sad,0.2320183366537094,0.0012055286206305027,0.23140820860862732,0.04430365189909935,0.27778398990631104,0.002855662489309907,0.21042464673519135
64,1,64,angry,0.38996049761772156,0.007149837911128998,0.20402006804943085,0.058884620666503906,0.19358059763908386,0.0017302434425801039,0.1446741223335266
66,1,66,neutral,0.09195990860462189,0.0014905313728377223,0.044243041425943375,0.16729313135147095,0.18819381296634674,0.0012367867166176438,0.5055828094482422
68,1,68,disgust,0.1967410445213318,0.3210054337978363,0.04873073846101761,0.22154803574085236,0.09009716659784317,0.003132286248728633,0.11874528974294662
70,1,70,disgust,0.12376511842012405,0.3773571252822876,0.10972646623849869,0.07201146334409714,0.16256694495677948,0.0034817133564502,0.15109112858772278
72,1,72,neutral,0.06035095080733299,0.0008568160701543093,0.07350752502679825,0.044771820306777954,0.21169662475585938,0.0012678573839366436,0.6075484156608582
74,1,74,neutral,0.04130655899643898,0.0016838342417031527,0.03009633906185627,0.10949846357107162,0.12828931212425232,0.0010408613597974181,0.688084602355957
76,1,76,neutral,0.053290050476789474,0.0007026400999166071,0.028786102309823036,0.036371808499097824,0.10528488457202911,0.0005514848744496703,0.7750129699707031
78,1,78,neutral,0.10960333049297333,0.1395641416311264,0.09150674194097519,0.09238521009683609,0.21295371651649475,0.005268364679068327,0.3487184941768646
80,1,80,neutral,0.15619681775569916,0.1305692046880722,0.06198349595069885,0.04767613857984543,0.2770369052886963,0.0012339461827650666,0.32530346512794495
82,1,82,neutral,0.11588308960199356,0.0016578305512666702,0.0646226704120636,0.04174951836466789,0.13613148033618927,0.0006940366583876312,0.6392613649368286
84,1,84,neutral,0.20558439195156097,0.005283952224999666,0.16176389157772064,0.05584944039583206,0.20708966255187988,0.0016632163897156715,0.36276543140411377
86,1,86,sad,0.09258125722408295,0.06565887480974197,0.08829083293676376,0.13146711885929108,0.34603509306907654,0.0030929914209991693,0.27287375926971436
